1\Tenacity\1\1\100, 0\300, 0\Increase DEF by 3%\Increase DEF by 5%\-\\\
281\Hand of Lightning\4\9\100, 100\100, 100\When equipped to Nikola Tesla (Archer) only. Increase NP Strength of all allies by 20% while he's on the field\\-\\\
282\Hero of the Endowed\4\9\100, 100\100, 100\When equipped to Arjuna (Archer) only. Increase NP Strength by 30%; Increase Critical Star Gather Rate by 1000%\\-\\\
283\Light of the Deprived\4\9\100, 100\100, 100\When equipped to Karna (Lancer) only. Increase Quick Card, Arts Card, & Buster Card effectiveness of all allies by 8% while he's on the field\\-\\\
284\Path of Humanity\4\9\100, 100\100, 100\When equipped to Frankenstein (Berserker) only. Increase Quick Card effectiveness of all allies by 15% while she's on the field\\-\\\
285\Black Helmet\4\9\100, 100\100, 100\When equipped to Altria Alter (Lancer) only. Increase NP Gain of all allies by 15% while she's on the field\\-\\\
286\Legend of the Gallic War\4\9\100, 100\100, 100\When equipped to Caesar (Saber) only. Increase Quick Card effectiveness of all allies by 15% while he's on the field\\-\\\
287\Rome\4\9\100, 100\100, 100\When equipped to Romulus (Lancer) only. Increase NP Strength of all allies by 20% while he's on the field\\-\\\
288\Encounter at Gojo Bridge\4\9\100, 100\100, 100\When equipped to Benkei (Lancer) only. Increase NP Gain of all allies when taking damage by 20% while he's on the field\\-\\\
289\Impure Death Mask\4\9\100, 100\100, 100\When equipped to Phantom (Assassin) only. Increase Quick Card effectiveness of all allies by 15% while he's on the field\\-\\\
290\Really Convenient\4\9\100, 100\100, 100\When equipped to Shakespeare (Caster) only. Increase NP Gain of all allies by 15% while he's on the field\\-\\\
291\Pirates Party!\5\12\0, 500\0, 2000\Apply Ignore Invincible; Gain 3 Critical Stars per turn; Increase Iron drop amount by 1 [Summer 1]; Increase Uisce Alloy drop amount by 1 [Summer 1]\Apply Ignore Invincible; Gain 4 Critical Stars per turn; Increase Iron drop amount by 2 [Summer 1]; Increase Uisce Alloy drop amount by 2 [Summer 1]\-\Matsumoto Noriyuki\\\Summer! Ocean! Pioneering! FGO 2016 Summer
292\Summertime Mistress\5\12\0, 500\0, 2000\Increase Critical Strength by 15%; Increase NP Gauge by 30% at the start of battle; Increase Food drop amount by 1 [Summer 1]; Increase Water drop amount by 1 [Summer 1]\Increase Critical Strength by 20%; Increase NP Gauge by 50% at the start of battle; Increase Food drop amount by 2; Increase Water drop amount by 2\-\Satou Hiroki (DELiGHTWORKS)\\\Summer! Ocean! Pioneering! FGO 2016 Summer
293\Twilight Memory\4\9\320, 200\1200, 750\Apply Evade (1 time); Increase Quick Card effectiveness by 8%; Increase Stone drop amount by 1 [Summer 1]; Increase Eadrom drop amount by 1 [Summer 1]\Apply Evade (1 time); Increase Quick Card effectiveness by 10%; Increase Stone drop amount by 2 [Summer 1]; Increase Eadrom drop amount by 2 [Summer 1]\-\Nekotawawa\\\Summer! Ocean! Pioneering! FGO 2016 Summer
294\Shiny Goddess\3\5\300, 0\1500, 0\Increase DEF by 3%; Increase Arts Card effectiveness by 3%; Increase Lumber drop amount by 1 [Summer 1]; Increase Realta Alloy drop amount by 1 [Summer 1]\Increase DEF by 5%; Increase Arts Card effectiveness by 5%; Increase Lumber drop amount by 2 [Summer 1]; Increase Realta Alloy drop amount by 2 [Summer 1]\-\Kinuta Kouji\\\Summer! Ocean! Pioneering! FGO 2016 Summer
295\Knights of Marines\5\12\0, 500\0, 2000\Increase Quick Card effectiveness by 10%; Increase NP Gauge by 50% at the start of battle; Increase Iron drop amount by 1 [Summer 1]; Increase Uisce Alloy drop amount by 1 [Summer 1]\Increase Quick Card effectiveness by 15%; Increase NP Gauge by 60% at the start of battle; Increase Iron drop amount by 2 [Summer 1]; Increase Uisce Alloy drop amount by 2 [Summer 1]\-\Yukihiro Utako\\\Summer! Ocean! Pioneering! FGO 2016 Summer
296\Chaldea Lifesavers\5\12\750, 0\3000, 0\Apply Guts with 1 HP (1 time); Increase NP Gain by 15%; Increase Oil drop amount by 1 [Summer 1]; Increase Cement drop amount by 1 [Summer 1]\Apply Guts with 1 HP (1 time); Increase NP Gain by 20%; Increase Oil drop amount by 2; Increase Cement drop amount by 2\-\Shaka P (DELiGHTWORKS)\\\Summer! Ocean! Pioneering! FGO 2016 Summer
297\Meat Wars\4\9\320, 200\1200, 750\Restore 200 HP per turn; Increase Arts Card effectiveness by 8%; Increase Stone drop amount by 1 [Summer 1]; Increase Eadrom drop amount by 1 [Summer 1]\Restore 300 HP per turn; Increase Arts Card effectiveness by 10%; Increase Stone drop amount by 2 [Summer 1]; Increase Eadrom drop amount by 2 [Summer 1]\-\Hoshino Lily\\\Summer! Ocean! Pioneering! FGO 2016 Summer
298\Shaved Ice (Void's Dust Flavor)\3\5\300, 0\1500, 0\Apply Damage Cut 100; Increase Debuff Resist by 5%; Increase Lumber drop amount by 1 [Summer 1]; Increase Realta Alloy drop amount by 1 [Summer 1]\Apply Damage Cut 200; Increase Debuff Resist by 10%; Increase Lumber drop amount by 2; Increase Realta Alloy drop amount by 2\-\Nakahara\\\Summer! Ocean! Pioneering! FGO 2016 Summer
299\Annihilation List\4\9\100, 100\100, 100\When equipped to Mysterious Heroine X (Assassin) only. Apply Special Attack [Saber] 20% to all allies while she's on the field\\-\\\
300\Imperishable Flames\4\9\100, 100\100, 100\When equipped to Brynhild (Lancer) only. Increase Buster Card effectiveness of all allies by 10% and NP Gain by 10% while she's on the field\\-\\\
301\Ring of Bay Laurel\4\9\100, 100\100, 100\When equipped to Nero Claudius [Bride] (Saber) only. Increase Arts Card effectiveness of all allies by 15% while she's on the field\\-\\\
302\Final Battle\4\9\100, 100\100, 100\When equipped to Beowulf (Berserker) only. Apply Special Attack [Dragon] 20% to all allies while he's on the field\\-\\\
303\Salmon of Knowledge\4\9\100, 100\100, 100\When equipped to Fionn Mac Cumhaill (Lancer) only. Increase Arts Card effectiveness of all allies by 10% and NP Strength by 10% while he's on the field\\-\\\
304\Prelati's Spellbook\4\9\100, 100\100, 100\When equipped to Gilles de Rais (Saber) only. Increase Buster Card effectiveness of all allies by 20% but decrease Debuff Resist by 20% [Demerit] while he's on the field\\-\\\
305\Parasitic Bomb\4\9\100, 100\100, 100\When equipped to Mephistopheles (Caster) only. Increase NP Strength of all allies by 20% while he's on the field\\-\\\
306\Surge of the Warrior\4\9\100, 100\100, 100\When equipped to Fergus (Saber) only. Increase Buster Card effectiveness of all allies by 10% and NP Strength by 10% while he's on the field\\-\\\
307\My Loathsome Life\4\9\100, 100\100, 100\When equipped to Sanson (Assassin) only. Increase Death Success Rate of all allies by 10% and NP Gain by 10% while he's on the field\\-\\\
308\There is No Love Here\4\9\100, 100\100, 100\When equipped to Caligula (Berserker) only. Increase Buster Card effectiveness of all allies by 20% but decrease DEF by 10% [Demerit] while he's on the field\\-\Kuzuboshi Hikaru\\
309\Magical Girl of Sapphire\5\12\0, 500\0, 2000\Increase NP Gain by 25%; Increase NP Gauge by 40% at the start of battle; Increase Mr. Lion-Go Toy drop amount by 1 [Prillya]\Increase NP Gain by 30%; Increase NP Gauge by 50% at the start of battle; Increase Mr. Lion-Go Toy drop amount by 2 [Prillya]\-\Hiroyama Hiroshi\\\Magical Girl Cruise ~PRISMA CODES~
310\Kill on Sight\4\9\320, 200\1200, 750\Increase Arts Card effectiveness by 8%; Increase NP Strength by 15%; Increase Magical Bushido Musashi drop amount by 1 [Prillya]\Increase Arts Card effectiveness by 10%; Increase NP Strength by 20%; Increase Magical Bushido Musashi drop amount by 2 [Prillya]\-\Inue Shinsuke\\\Magical Girl Cruise ~PRISMA CODES~
311\Zunga Zunga!\3\5\300, 0\1500, 0\Apply Damage Cut 100; Increase HP Recovery Amount by 5%; Increase Expensive Pudding drop amount by 1 [Prillya]\Apply Damage Cut 200; Increase HP Recovery Amount by 10%; Increase Expensive Pudding drop amount by 2 [Prillya]\-\Imaizumi Teruhiko\\\Magical Girl Cruise ~PRISMA CODES~
312\Kaleid Ruby\4\9\0, 400\0, 1500\Increase Buster Card effectiveness by 10%; Increase NP Strength by 8%; When equipped to a [Female] Servant:; Increase ATK Strength by 50% during [PRISMA CODES]; Increase Buster Card effectiveness by 50% during [World End Match] [Prillya]\Increase Buster Card effectiveness by 15%; Increase NP Strength by 10%; When equipped to a [Female] Servant:; Increase ATK Strength by 100% during [PRISMA CODES]; Increase Buster Card effectiveness by 100% during [World End Match] [Prillya]\-\Anmi\\\Magical Girl Cruise ~PRISMA CODES~
313\Kaleid Sapphire\4\9\0, 400\0, 1500\Increase Arts Card effectiveness by 10%; Increase NP Strength by 8%; When equipped to a [Female] Servant:; Increase ATK Strength by 50% during [PRISMA CODES]; Increase Arts Card effectiveness by 50% during [World End Match] [Prillya]\Increase Arts Card effectiveness by 15%; Increase NP Strength by 10%; When equipped to a [Female] Servant:; Increase ATK Strength by 100% during [PRISMA CODE]; Increase Arts Card effectiveness by 100% during [World End Match] [Prillya]\-\Mashima Saki\\\Magical Girl Cruise ~PRISMA CODES~
314\Magical Ruby\3\5\0, 0\0, 0\No Effect; Increase Craft Essence EXP by 18,000 when used as synthesis material.\\-\\EXPCard\\Magical Girl Cruise ~PRISMA CODES~
315\True Emptiness\4\9\100, 100\100, 100\When equipped to Ryougi Shiki (Saber) only. Increase Arts Card effectiveness of all allies by 15% while she's on the field\\-\\\
316\Amakusa Shirou's Rally Flag\4\9\100, 100\100, 100\When equipped to Amakusa Shirou (Ruler) only. Apply Special Attack [Undead & Demon] 20% to all allies while he's on the field\\-\\\
317\Chateau d'If\4\9\100, 100\100, 100\When equipped to Edmond Dantes (Avenger) only. Increase Quick Card effectiveness of all allies by 15% while he's on the field\\-\\\
318\Unlimited Pancakes\4\9\100, 100\100, 100\When equipped to Medea [Lily] only; Increase HP Recovery Amount of all allies by 30% while she's on the field\\-\\\
319\Red Leather Jacket\4\9\100, 100\100, 100\When equipped to Ryougi Shiki (Assassin) only. Increase Death Success Rate of all allies by 30% while she's on the field\\-\\\
320\Otherworldly Mystical Horse\4\9\100, 100\100, 100\When equipped to Astolfo (Rider) only. Increase NP Strength by 30%; Apply Evade (1 time) to all allies when entering the battle for the first time\\-\\\
321\Letter From a Friend\4\9\100, 100\100, 100\When equipped to Gilles de Rais (Caster) only. Increase Buster Card effectiveness of all allies by 20% but decrease Critical Star Drop Rate by 20% [Demerit] while he's on the field\\-\\\
322\Hound of Culann\4\9\100, 100\100, 100\When equipped to Cu Chulainn [Prototype] only; Apply Special Attack [Wild Beast] 20% to all allies while he's on the field\\-\\\
323\Radiance of the Goddess (Euryale)\4\9\100, 100\100, 100\When equipped to Euryale (Archer) only. Increase Arts Card effectiveness of all allies by 15% while she's on the field\\-\\\
324\Hero's Armament\4\9\100, 100\100, 100\When equipped to Hector (Lancer) only. Increase NP Strength of all allies by 20% while he's on the field\\-\\\
325\Glory Is With Me\5\12\0, 500\0, 2000\Increase NP Strength by 15%; Increase Critical Strength by 15%; Gain 3 Critical Stars per turn; Increase Nero Medal (Gold) drop amount by 1 [Nero Fest 2]\Increase NP Strength by 20%; Increase Critical Strength by 20%; Gain 4 Critical Stars per turn; Increase Nero Medal (Gold) drop amount by 2 [Nero Fest 2]\-\Kou Mashiro\\\The Return of Nero Fest ~2016 Autumn~
326\Original Legion\4\9\320, 200\1200, 750\Increase DEF by 8%; Increase NP Strength by 15%; Increase Nero Medal (Silver) drop amount by 1 [Nero Fest 2]\Increase DEF by 10%; Increase NP Strength by 20%; Increase Nero Medal (Silver) drop amount by 2 [Nero Fest 2]\-\ReDrop\\\The Return of Nero Fest ~2016 Autumn~
327\Howl at the Moon\3\5\0, 0\200, 100\Increase Buster Card effectiveness by 10%; Decrease Debuff Resist by 20% [Demerit]; Increase Nero Medal (Bronze) drop amount by 1 [Nero Fest 2]\Increase Buster Card effectiveness by 15%; Decrease Debuff Resist by 20% [Demerit]; Increase Nero Medal (Bronze) drop amount by 2 [Nero Fest 2]\-\Usagi Routo\\\The Return of Nero Fest ~2016 Autumn~
328\Princess of the White Rose\5\12\400, 250\1600, 1000\Apply Guts (1 time, 1 HP); Increase NP Gauge by 10% at the start of battle; Increase ATK Strength by 100% [Nero Fest 2]\Guts with 1HP (1 time); Increase NP Gauge by 20% at the start of battle; Increase ATK Strength by 200% [Nero Fest 2]\-\Kunieda\\\The Return of Nero Fest ~2016 Autumn~
329\Joint Recital\5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 15%; Increase Critical Strength by 15%; Increase Crimson Petal drop amount by 1 [Nero Fest 2]\Increase Buster Card effectiveness by 20%; Increase Critical Strength by 20%; Increase Crimson Petal drop amount by 2 [Nero Fest 2]\-\Mika Pikazo\\\The Return of Nero Fest ~2016 Autumn~
330\Chaldea Lunchtime\5\12\400, 250\1600, 1000\Increase Bond EXP received from clearing quest by 2%\Increase Bond EXP received from clearing quest by 10%\-\NOCO\\\Da Vinci's Wokshop "Mana Prism Exchange"; Deadline: 31 December 2016
331\Fragarach\3\5\0, 200\0, 1000\Increase Critical Star Gather Rate by 200%\Increase Critical Star Gather Rate by 300%\-\\\
332\Inverted Moon of the Heavens\3\5\300, 0\1500, 0\Gain 1 Critical Star per turn; Increase Debuff Resist by 5%\Gain 2 Critical Star per turn; Increase Debuff Resist by 10%\-\\\
333\Hydra Dagger\3\5\0, 200\0, 1000\Increase Death Success Rate by 5%\Increase Death Success Rate by 10%\-\\\
334\Indefatigable\4\9\100, 100\100, 100\When equipped to Nightingale (Berserker) only. Increase Buster Card effectiveness of all allies by 10% and HP Recovery Amount by 20% while she's on the field\\-\\\
335\One-man War\4\9\100, 100\100, 100\When equipped to Cu [Alter] (Berserker) only. Increase NP Strength by 30% and apply Guts (20% HP, 1 time)\\-\\\
336\Sacred Spring\4\9\100, 100\100, 100\When equipped to Queen Medb (Rider) only. Increase NP Gain of all allies by 15% while she's on the field\\-\\\
337\Indestructible Blade\4\9\100, 100\100, 100\When equipped to Rama (Saber) only. Increase Critical Strength of all allies by 25% while he's on the field\\-\\\
338\Concealed Goddess\4\9\100, 100\100, 100\When equipped to Helena Blavatsky (Caster) only. Apply Special Attack [Assassin] 20% to all allies while she's on the field\\-\\\
339\Lights of Civilization\4\9\100, 100\100, 100\When equipped to Thomas Edison (Caster) only. Increase NP Gain of all allies by 15% while he's on the field\\-\\\
340\Skill That Reaches the Realm of Gods\4\9\100, 100\100, 100\When equipped to Li Shuwen (Lancer) only. Increase Arts Card effectiveness of all allies by 15% while he's on the field\\-\\\
341\Knight’s Oath\4\9\100, 100\100, 100\When equipped to Diarmuid (Lancer) only. Increase Quick and Arts Card effectiveness of all allies by 10% while he's on the field\\-\\\
342\Elemental\4\9\100, 100\100, 100\When equipped to Paracelsus (Caster) only. Increase Arts Card effectiveness and NP Strength of all allies by 10% while he's on the field\\-\\\
343\True Difference Engine\4\9\100, 100\100, 100\When equipped to Charles Babbage (Caster) only. Increase Buster Card effectiveness of all allies by 20% but decrease DEF by 10% [Demerit] while he's on the field\\-\\\
344\Dangerous Beast\5\12\0, 500\0, 2000\Increase Quick Card effectiveness by 15%; Gain 3 Critical Stars per turn; Increase Sack of Gold drop amount by 1 [Halloween 2]\Increase Quick Card effectiveness by 20%; Gain 4 Critical Stars per turn; Increase Sack of Gold drop amount by 2 [Halloween 2]\-\ReDrop\\\Halloween Comeback! Mega Huge Pumpkin Village
345\Witch Under the Moonlight\4\9\320, 200\1200, 750\Increase Arts Card effectiveness by 10%; Increase NP Gain by 5%; Increase Sack of Silver drop amount by 1 [Halloween 2]\Increase Arts Card effectiveness by 15%; Increase NP Gain by 10%; Increase Sack of Silver drop amount by 2 [Halloween 2]\-\Jikeshi\\\Halloween Comeback! Mega Huge Pumpkin Village
346\Count Romani Archaman's Hospitality\3\5\300, 0\1500, 0\Increase NP Gain by 5%; Increase DEF by 3%; Increase Sack of Bronze drop amount by 1 [Halloween 2]\Increase NP Gain by 10%; Increase DEF by 5%; Increase Sack of Bronze drop amount by 2 [Halloween 2]\-\Komiya Kuniharu\\\Halloween Comeback! Mega Huge Pumpkin Village
347\Hero Elly's Adventure\5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 10%; Increase NP Strength by 20%; Increase [Werewolf], [Homunculus], [Knight] appearance rate by 25% [Halloween 2]\Increase Buster Card effectiveness by 15%; Increase NP Strength by 25%; Increase [Werewolf], [Homunculus], [Knight] appearance rate by 100% [Halloween 2]\-\Himukai Yuuji\\\Halloween Comeback! Mega Huge Pumpkin Village
348\Wizard & Priest\4\9\320, 200\1200, 750\Increase NP Strength by 15%; Increase HP Recovery Amount by 10%; Increase [Skeleton], [Ghost], [Lamia] appearance rate by 25% [Halloween 2]\Increase NP Strength by 20%; Increase HP Recovery Amount by 20%; Increase [Skeleton], [Ghost], [Lamia] appearance rate by 100% [Halloween 2]\-\TAa\\\Halloween Comeback! Mega Huge Pumpkin Village
349\Mata Hari's Tavern\3\5\0, 200\0, 1000\Increase Quick Card effectiveness by 2%; Increase Arts Card effectiveness by 2%; Increase Buster Card effectiveness by 2%; Increase Critical Strength by 5%; Increase [Insect] and [Golem] appearance rate by 25% [Halloween 2]\Increase Quick Card effectiveness by 3%; Increase Arts Card effectiveness by 3%; Increase Buster Card effectiveness by 3%; Increase Critical Strength by 10%; Increase [Insect] and [Golem] appearance rate by 100% [Halloween 2]\-\MELON23\\\Halloween Comeback! Mega Huge Pumpkin Village
350\Hell of Blazing Punishment\4\9\100, 100\100, 100\When equipped to Jeanne d'Arc [Alter] (Avenger) only. Increase Buster Card effectiveness of all allies by 15% while she's on the field\\-\\\
351\Gordian Knot\4\9\100, 100\100, 100\When equipped to Iskandar (Rider) only. Increase ATK of all allies by 15% while he's on the field\\-\\\
352\White Dragon\4\9\100, 100\100, 100\When equipped to Xuanzang Sanzang (Caster) only. Increase Buster Card effectiveness of all allies by 20% but decrease DEF by 10% [Demerit] while she's on the field\\-\\\
353\Where the Sun Doesn't Reach\4\9\100, 100\100, 100\When equipped to Emiya (Assassin) only. Increase Quick and Arts Card effectiveness of all allies by 10% while he's on the field\\-\\\
354\The Dress of Heaven\4\9\100, 100\100, 100\When equipped to Irisviel (Caster) only. Increase HP Recovery Amount by 30% while she's on the field\\-\\\
355\Manifestation of the Golden Rule\4\9\100, 100\100, 100\When equipped to Child Gil (Archer) only. Increase NP Gain of all allies by 15% while he's on the field\\-\\\
356\Spirit of This Land\4\9\100, 100\100, 100\When equipped to Geronimo (Caster) only. Increase NP Gain of all allies by 15% while he's on the field\\-\\\
357\Extol the Gun\4\9\100, 100\100, 100\When equipped to Billy the Kid (Archer) only. Increase Critical Strength of all allies by 25% while he's on the field\\-\\\
358\Library of the Hundred Personas\4\9\100, 100\100, 100\When equipped to Hassan of the Hundred Personas (Assassin) only. Increase Quick, Arts, and Buster Card effectiveness of all allies by 8% while she's on the field\\-\\\
359\Final Fragment\4\9\100, 100\100, 100\When equipped to Angra Mainiiu (Avenger) only. Gain the class advantage when attacking [Beast] class; Apply Guts (20% HP, 1 time)\\-\\\
360\Fate/EXTELLA\4\9\100, 100\100, 100\Increase Critical Strength by 15%; Gain 3 Critical Stars per turn\\-\Wada Arco\\\Fate/EXTELLA Launch Campaign
361\Spiritron Portrait: Nero Claudius\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Wada Arco\\\Fate/EXTELLA Launch Campaign
362\Spiritron Portrait: Nameless\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Wada Arco\\\Fate/EXTELLA Launch Campaign
363\Spiritron Portrait: Tamamo-no-Mae\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Wada Arco\\\Fate/EXTELLA Launch Campaign
364\Spiritron Portrait: Karna\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Wada Arco\\\Fate/EXTELLA Launch Campaign
365\Spiritron Portrait: Altera\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Wada Arco\\\Fate/EXTELLA Launch Campaign
366\Spiritron Portrait: Gilgamesh\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Wada Arco\\\Fate/EXTELLA Launch Campaign
367\Divine Wine - Shinpen Kidoku\4\9\100, 100\100, 100\When equipped to Shuten-Douji (Assassin) only. Increase Quick and Arts Card effectiveness of all allies by 10% while she's on the field\\-\\\
368\Doujigiri Yasutsuna\4\9\100, 100\100, 100\When equipped to Raikou (Berserker) only. Increase Buster Card effectiveness of all allies by 10% and Critical Strength by 15% while she's on the field\\-\\\
369\Ramesseum\4\9\100, 100\100, 100\When equipped to Ozymandias (Rider) only. Increase Arts and Buster Card effectiveness of all allies by 10% while he's on the field\\-\\\
370\Bone Sword (Nameless)\4\9\100, 100\100, 100\When equipped to Ibaraki-Douji (Berserker) only. Increase Buster Card effectiveness of all allies by 20% but decrease DEF by 10% [Demerit] while she's on the field\\-\\\
371\Golden Bear\4\9\100, 100\100, 100\When equipped to Sakata Kintoki (Rider) only. Increase Critical Star Drop Rate of all allies by 20% while he's on the field\\-\\\
372\Gringolet\4\9\100, 100\100, 100\When equipped to Gawain (Saber) only. Increase Buster Card effectiveness of all allies by 15% while he's on the field\\-\\\
373\A Single Lie\4\9\100, 100\100, 100\When equipped to Tristan (Archer) only. Increase Critical Strength of all allies by 25% while he's on the field\\-\\\
374\Unused Royal Authority\4\9\100, 100\100, 100\When equipped to Nitocris (Caster) only. Increase NP Gain and NP Strength of all allies by 10% while she's on the field\\-\\\
375\Oni's Mask\4\9\100, 100\100, 100\When equipped to Fuuma Kotarou (Assassin) only. Increase Quick Card effectiveness of all allies by 15% while he's on the field\\-\\\
376\Inexhaustible Food\4\9\100, 100\100, 100\When equipped to Tawara Touta (Archer) only. Restore HP of all allies by 500 per turn while he's on the field\\-\\\
377\King's Horse\4\9\100, 100\100, 100\When equipped to Altria Pendragon (Lancer) only. Increase ATK and NP Strength of all allies by 10% while she's on the field\\-\\\
378\Universal Wisdom, Root of Intellect\4\9\100, 100\100, 100\When equipped to Leonardo da Vinci (Caster) only. Increase NP Strength of all allies by 20% while she's on the field\\-\\\
379\Sunset Beach\4\9\100, 100\100, 100\When equipped to Tamamo-no-Mae (Lancer) only. Increase Quick and Buster Card effectiveness of all allies by 10% while she's on the field\\-\\\
380\Lady of the Lake\4\9\100, 100\100, 100\When equipped to Lancelot (Saber) only. Increase NP Gain and Critical Strength of all allies by 10% while he's on the field\\-\\\
381\Summer Memory\4\9\100, 100\100, 100\When equipped to Marie Antoinette (Caster) only. Increase Critical Strength of all allies by 25% while she's on the field\\-\\\
382\Taking a Bath!\4\9\100, 100\100, 100\When equipped to Anne & Mary (Archer) only. Increase Arts and Buster Card effectiveness of all allies by 10% while she's on the field\\-\\\
383\Prydwen\4\9\100, 100\100, 100\When equipped to Mordred (Rider) only. Increase NP Strength of all allies by 20% while she's on the field\\-\\\
384\Summer Love Letter (Terror)\4\9\100, 100\100, 100\When equipped to Kiyohime (Lancer) only. Increase Buster Card effectiveness of all allies by 20% but decrease DEF by 10% [Demerit] while she's on the field\\-\\\
385\Lost Right Arm\4\9\100, 100\100, 100\When equipped to Bedivere (Saber) only. Increase Buster Card effectiveness and NP Gain of all allies by 10% while he's on the field\\-\\\
386\Proof of Existence\4\9\100, 100\100, 100\When equipped to Hassan of the Serenity (Assassin) only. Increase Quick Card effectiveness of all allies by 15% while she's on the field\\-\\\
387\A Moment of Tranquility \5\12\0, 500\0, 2000\Increase Quick Card effectiveness by 10%; Increase Arts Card effectiveness by 10%; Increase NP Gain by 10%; Increase Fruitcake drop amount by 1 [Christmas 2]\Increase Quick Card effectiveness by 15%; Increase Arts Card effectiveness by 15%; Increase NP Gain by 15%; Increase Fruitcake drop amount by 2 [Christmas 2]\-\Teita\\\The Second Generation is Alter-chan ~2016 Christmas~
388\Holy Night Reading\4\9\320, 200\1200, 750\Increase NP Gain by 15%; Increase NP Strength by 15%; Increase Shortcake drop amount by 1 [Christmas 2]\Increase NP Gain by 20%; Increase NP Strength by 20%; Increase Shortcake drop amount by 2 [Christmas 2]\-\toi9\\\The Second Generation is Alter-chan ~2016 Christmas~
389\Saint's Invitation\3\5\300, 0\1500, 0\Increase DEF by 3%; Apply Damage Cut 100; Increase Cheesecake drop amount by 1 [Christmas 2]\Increase DEF by 5%; Apply Damage Cut 200; Increase Cheesecake drop amount by 2 [Christmas 2]\-\Kasukabe Akira\\\The Second Generation is Alter-chan ~2016 Christmas~
390\Holy Night Supper\5\12\0, 500\0, 2000\Increase NP Gauge by 30% at the start of battle; Increase Critical Strength by 10%; Increase NP Strength by 10%; Increase Miracle Stocking drop amount by 1 [Christmas 2]\Increase NP Gauge by 50% at the start of battle; Increase Critical Strength by 15%; Increase NP Strength by 15%; Increase Miracle Stocking drop amount by 2 [Christmas 2]\-\lack\\\The Second Generation is Alter-chan ~2016 Christmas~
391\Champion Cup\4\9\100, 100\100, 100\When equipped to Altria Pendragon (Archer) only. Increase ATK of all allies by 15% while she's on the field\\-\\\
392\Phantasmal Summon (Install)\4\9\100, 100\100, 100\When equipped to Illyasviel (Caster) only. Increase Quick, Arts, and Buster Card effectiveness of all allies by 8% while she's on the field\\-\\\
393\Serpent of Fate\4\9\100, 100\100, 100\When equipped to Cleopatra (Assassin) only. Increase NP Strength of all allies by 25% but decrease DEF by 10% [Demerit] while she's on the field\\-\\\
394\Holy Knuckle\4\9\100, 100\100, 100\When equipped to Martha (Ruler) only. Increase Buster Card effectiveness of all allies by 15% while she's on the field\\-\\\
395\Minimum Etiquette\4\9\100, 100\100, 100\When equipped to Scathach (Assassin) only. Increase Quick Card effectiveness of all allies by 15% while she's on the field\\-\\\
396\Shared Pain\4\9\100, 100\100, 100\When equipped to Chloe (Archer) only. Increase Critical Strength of all allies by 30% but decrease HP by 200 per turn [Demerit] while she's on the field\\-\\\
397\Faith from the Deepest Earth\4\9\100, 100\100, 100\When equipped to Vlad III [EXTRA] (Lancer) only. Increase Quick and Buster Card effectiveness of all allies by 10% while he's on the field\\-\\\
398\Invitation to Halloween\4\9\100, 100\100, 100\When equipped to Elisabeth [Brave] (Saber) only. Increase Buster Card effectiveness of all allies by 20% but decrease DEF by 10% [Demerit] while she's on the field\\-\\\
399\First Order\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\Gotou Keisuke\\\Fate Project New Year TV Special Campaign.
400\Devilish Bodhisattva\5\12\400, 250\1600, 1000\Increase NP Gauge by 50% at the start of battle; Increase NP Overcharge by 2 levels (1 time)\Increase NP Gauge by 60% at the start of battle; Increase NP Overcharge by 2 levels (1 time)\-\I-IV\\
401\Room Guard\4\9\600, 0\2250, 0\Increase Critical Star Gather Rate by 300%; Apply Damage Cut 300\Increase Critical Star Gather Rate by 400%; Apply Damage Cut 400\-\Shima Drill\\
402\Seeker of Miracles\3\5\0, 200\0, 1000\Increase NP Strength by 15% when equipped to a [Divine] Servant\Increase NP Strength by 25% when equipped to a [Divine] Servant\-\Shima Drill\\
403\Seven-Headed Cita Mace\4\9\100, 100\100, 100\When equipped to Ishtar (Archer) only. Increase Buster Card effectiveness of all allies by 20% but decrease Debuff Resist by 20% [Demerit] while she's on the field\\-\\\
404\Huwawa's Flowers\4\9\100, 100\100, 100\When equipped to Enkidu (Lancer) only. Restore HP of all allies by 500 per turn while he's on the field\\-\\\
405\Piedra del Sol\4\9\100, 100\100, 100\When equipped to Quetzalcotl (Rider) only. Increase Arts and Buster Card effectiveness of all allies by 10% while she's on the field\\-\\\
406\Door to the Sea\4\9\100, 100\100, 100\When equipped to Jeanne d'Arc Alter Santa Lily (Lancer) only. Increase HP Recovery Amount of all allies by 30% while she's on the field\\-\\\
407\Tablet of Fate\4\9\100, 100\100, 100\When equipped to Gilgamesh (Caster) only. Increase NP Strength of all allies by 20% while he's on the field\\-\\\
